Position,Name,Known For,Birth Date,images
1,Rajinikanth,Enthiran,12-12-1950,
2,Mahesh Babu,1 - Nenokkadine,09-08-1975,
3,Kamal Haasan,Vishwaroopam,07-11-1954,
4,Mohanlal,Dasharatham,21-05-1960,
5,Chiranjeevi,Shankar Dada MBBS,22-08-1955,
6,Ajith Kumar,Villain,01-05-1971,
7,Mammootty,Mathilukal,07-09-1951,
8,Joseph Vijay,Thuppakki,22-06-1974,
9,Pawan Kalyan,Atharintiki Daaredi,02-09-1971,
10,Nagarjuna Akkineni,Rajanna,29-08-1959,
11,Puneeth Rajkumar,Raajakumara,17-03-1975,
12,Nandamuri Balakrishna,Simha,10-06-1960,
13,N.T. Rama Rao Jr.,Nannaku Prematho,20-05-1983,
14,Venkatesh Daggubati,Ganesh,13-12-1960,
15,Suriya,24,23-07-1975,
16,Vikram,Anniyan,17-04-1966,
17,Prabhas,Bãhubali: The Beginning,23-10-1979,
18,Allu Arjun,Sarrainodu,08-04-1980,
19,Dhanush,Raanjhanaa,25-02-1983,
20,Sudeep,Eega,02-09-1973,
21,Ravi Teja,Neninthe,26-01-1968,
22,Dileep,Kunjikkoonan,27-10-1968,
23,Shivarajkumar,Shivalinga,12-07-1962,
24,Prithviraj Sukumaran,Ennu Ninte Moideen,16-10-1982,
25,Ram Charan,Magadheera,27-03-1985,
26,Karthi,Theeran adhigaaram ondru,25-05-1977,
27,Vishal,Irumbu Thirai,29-08-1977,
28,Mohan Babu,Postman,19-03-1950,
29,Dulquer Salmaan,Charlie,28-07-1986,
30,Nivin Pauly,Premam,11-10-1984,
31,Ram Pothineni,Devadasu,,
32,Jiiva,Mugamoodi,04-01-1984,
33,Tottempudi Gopichand,Oxygen,,
34,Nani,Eega,,
35,Yash,K.G.F: Chapter 1,,
36,Upendra,Upendra,18-09-1967,
37,Naga Chaitanya Akkineni,100% Love,23-11-1986,
38,Suresh Gopi,Kaliyattam,25-06-1958,
39,Sivakarthikeyan,Velaikkaran,,
40,Nithiin,Gunde Jaari Gallanthayyinde,30-03-1983,
41,Jayasurya,Su Su Sudhi Vathmeekam,,
42,Arya,Arrambam,,
43,Vishnu Manchu,Current Theega,23-11-1981,
44,Kunchacko Boban,3 Dots,,
45,Varun Tej,Suryakantham,,
46,Sai Dharam Tej,Jawaan,15-10-1986,
47,Siddharth,Rang De Basanti,,
48,Madhavan,Vikram Vedha,01-06-1970,
49,Sumanth,Boni,09-02-1976,
50,Akhil Akkineni,Akhil,08-04-1994,
51,Vijay Sethupathi,96,,
52,Fahadh Faasil,Thondimuthalum Dhriksakshiyum,,
53,Bobby Simha,Jigarthanda,06-11-1983,
54,Manoj Kumar Manchu,Pandavulu Pandavulu Thummeda,,
55,Duniya Vijay,Duniya,,
56,Darshan Thoogudeep,Kraanthiveera Sangolli Raayanna,,
57,Sai Srinivas Bellamkonda,Alludu Seenu,,
58,Vimal,Kaaval,,
59,Srikanth,Parthiban Kanavu,28-02-1979,
60,Ganesh,Gaalipata,,
61,Jayaram,Thuppakki,,
62,Allari Naresh,Gamyam,,
63,Indrajith Sukumaran,Left Right Left,,
64,Arun Vijay,Chekka Chivantha Vaanam,,
65,Rana Daggubati,Bãhubali: The Beginning,14-12-1984,
66,Nara Rohith,Appatlo Okadundevadu,25-07-1984,
67,Sharwanand,Malli Malli Idhi Rani Roju,,
68,Jayam Ravi,Thani Oruvan,10-09-1980,
69,Jai,Raja Rani,,
70,Vikranth,Kavan,,
71,Naga Shaurya,Aswathama,,
72,Lal,Hera Pheri,,
73,T.R. Silambarasan,Vinnaithaandi Varuvaayaa,03-02-1983,
74,V. Ravichandran,Shanti Kranti,,
75,Arvind Swamy,Thani Oruvan,18-06-1970,
76,Arjun Sarja,Irumbu Thirai,15-08-1962,
77,Karthik,Agni Natchathiram,,
78,Prabhu,Chinna Thambi,,
79,Prabhu Deva,Lakshya,,
80,Vijayakanth,Amman Koil Kizhakkaalae,25-08-1952,
81,Sathyaraj,Bãhubali: The Beginning,03-10-1954,
82,Sarath Kumar,Nattamai,,
83,Sundeep Kishan,Gundello Godari,,
84,Jagapathi Babu,Nannaku Prematho,,
85,Navdeep,Arindhum Ariyamalum,,
86,Varun Sandesh,Kurradu,,
87,Nandamuri Kalyan Ram,Om 3D,,
88,Aadi,Prema Kavali,,
89,Tarun Kumar,Jhinder Bandi,24-02-1931,
90,Nikhil Siddharth,Arjun Suravaram,01-06-1985,
91,Pradeep Singh Rawat,Ghajini,,
92,Kalabhavan Mani,Sallapam,01-01-1971,
93,Rajendra Prasad,Srimanthudu,19-07-1956,
94,Allu Sirish,Ghajini,30-05-1987,
95,Suneel,Tadakha,,
96,Prakash Raj,Anniyan,26-03-1965,
97,Rahul Dev,Champion,,
98,Raj Kiran,Thavamai Thavamiruntu,,
99,Rao Ramesh,Duvvada Jagannadham,,
